mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000001844	98.9	75.74	67.42	54.79
ENSMUSG00000001847	306.63	274.31	296.82	399.2
ENSMUSG00000001855	60.69	31.32	22.85	35.91
ENSMUSG00000001864	45.79	38.04	28.57	30.84
ENSMUSG00000001865	20.62	2.17	0.0	2.22
ENSMUSG00000001870	14.48	6.42	0.0	0.9
ENSMUSG00000001891	48.47	32.52	28.13	33.44
ENSMUSG00000001901	1.48	2.08	0.0	1.06
ENSMUSG00000001909	111.52	106.74	114.46	105.39
ENSMUSG00000001910	81.1	65.96	72.57	55.67
ENSMUSG00000001911	37.68	99.93	43.26	31.66
ENSMUSG00000001918	22.66	37.86	27.06	17.93
ENSMUSG00000001924	426.67	420.74	382.88	469.61
ENSMUSG00000001930	7.78	7.55	11.0	60.04
ENSMUSG00000001942	6.85	5.07	6.3	7.75
ENSMUSG00000001943	0.0	3.69	5.59	0.0
ENSMUSG00000001946	22.09	39.47	22.04	30.11
ENSMUSG00000001948	9.72	28.14	10.83	7.35
ENSMUSG00000001962	57.58	52.71	64.18	50.13
ENSMUSG00000001964	126.81	87.55	65.14	53.83
ENSMUSG00000001983	9.35	20.63	13.79	14.1
ENSMUSG00000001985	20.12	29.46	35.11	22.42
ENSMUSG00000001986	9.62	19.72	26.18	20.86
ENSMUSG00000001988	3.9	5.76	17.25	8.83
ENSMUSG00000001995	33.74	42.43	25.12	28.7
ENSMUSG00000001998	13.7	8.72	15.09	9.71
ENSMUSG00000001999	18.13	12.06	25.73	19.01
ENSMUSG00000002006	93.04	84.02	130.4	110.28
ENSMUSG00000002007	11.85	1.53	0.0	2.22
ENSMUSG00000002010	332.34	536.03	448.02	497.99
ENSMUSG00000002012	128.37	125.62	226.74	241.37
ENSMUSG00000002014	171.8	189.0	195.07	135.18
ENSMUSG00000002015	54.24	61.09	76.05	49.1
ENSMUSG00000002017	35.28	64.17	65.91	51.32
ENSMUSG00000002020	16.83	3.73	0.64	3.65
ENSMUSG00000002028	25.72	26.47	22.58	30.92
ENSMUSG00000002031	109.91	138.83	141.22	117.68
ENSMUSG00000002032	20.27	11.21	34.62	34.01
ENSMUSG00000002033	0.0	0.0	0.0	0.0
ENSMUSG00000002043	14.15	3.57	15.73	19.72
ENSMUSG00000002052	19.08	25.55	22.41	21.39
ENSMUSG00000002055	46.96	63.58	22.73	6.79
ENSMUSG00000002057	0.0	0.0	0.0	0.0
ENSMUSG00000002058	133.37	123.58	99.84	146.96
ENSMUSG00000002059	104.95	73.64	107.7	94.18
ENSMUSG00000002064	173.49	98.99	72.62	133.35
ENSMUSG00000002068	27.02	32.99	27.83	13.91
ENSMUSG00000002076	5.92	0.0	6.57	4.47
ENSMUSG00000002083	19.56	31.54	40.6	19.94
ENSMUSG00000002100	0.0	0.0	0.0	0.0
ENSMUSG00000002102	146.44	186.94	223.25	206.03
ENSMUSG00000002103	43.59	30.44	33.99	28.55
ENSMUSG00000002104	2.95	0.0	0.0	2.22
ENSMUSG00000002105	54.78	60.84	75.29	44.85
ENSMUSG00000002107	111.07	134.38	207.37	175.54
ENSMUSG00000002108	2.63	0.0	21.82	0.0
ENSMUSG00000002109	42.25	22.08	26.5	43.46
ENSMUSG00000002111	11.19	0.0	11.88	0.0
ENSMUSG00000002129	81.94	96.51	56.2	42.81
ENSMUSG00000002147	8.27	30.14	10.34	3.11
ENSMUSG00000002190	7.98	8.11	7.71	12.03
ENSMUSG00000002204	0.0	0.0	0.0	0.0
ENSMUSG00000002205	41.59	32.82	23.05	20.44
ENSMUSG00000002210	73.13	49.23	55.46	64.21
ENSMUSG00000002221	33.51	29.29	31.92	15.49
ENSMUSG00000002222	23.21	31.33	34.76	42.95
ENSMUSG00000002227	7.93	5.02	2.5	8.54
ENSMUSG00000002228	0.0	7.15	2.68	1.83
ENSMUSG00000002233	75.42	78.84	60.33	43.88
ENSMUSG00000002240	0.0	0.0	0.0	0.0
ENSMUSG00000002249	29.27	16.51	5.94	19.69
ENSMUSG00000002250	15.57	9.36	18.27	12.91
ENSMUSG00000002257	5.33	2.62	3.93	5.87
ENSMUSG00000002265	122.71	63.91	53.94	72.2
ENSMUSG00000002266	15.55	7.32	10.83	15.93
ENSMUSG00000002274	89.14	124.0	57.3	106.77
ENSMUSG00000002279	10.16	8.72	14.63	14.34
ENSMUSG00000002280	28.91	21.08	23.61	30.72
ENSMUSG00000002289	2.22	6.56	13.34	8.43
