mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000001870	19.0	11.0	0.0	1.0
ENSMUSG00000001891	19.0	24.0	14.0	24.0
ENSMUSG00000001901	1.0	2.0	0.0	1.0
ENSMUSG00000001909	52.0	67.0	40.0	63.0
ENSMUSG00000001910	90.0	99.0	73.0	82.0
ENSMUSG00000001911	49.0	81.0	56.0	60.0
ENSMUSG00000001918	16.0	32.0	17.0	12.0
ENSMUSG00000001924	386.0	532.0	327.0	449.0
ENSMUSG00000001930	5.0	8.0	10.0	18.0
ENSMUSG00000001942	6.0	6.0	5.0	9.0
ENSMUSG00000001943	0.0	1.0	1.0	0.0
ENSMUSG00000001946	8.0	17.0	9.0	17.0
ENSMUSG00000001948	1.0	4.0	1.0	1.0
ENSMUSG00000001962	19.0	23.0	19.0	23.0
ENSMUSG00000001964	26.0	30.0	22.0	27.0
ENSMUSG00000001983	3.0	9.0	4.0	6.0
ENSMUSG00000001985	45.0	91.0	72.0	66.0
ENSMUSG00000001986	13.0	36.0	31.0	36.0
ENSMUSG00000001988	2.0	4.0	8.0	6.0
ENSMUSG00000001995	56.0	95.0	38.0	63.0
ENSMUSG00000001998	18.0	17.0	22.0	22.0
ENSMUSG00000001999	4.0	4.0	3.0	7.0
ENSMUSG00000002006	93.0	116.0	115.0	142.0
ENSMUSG00000002007	4.0	1.0	0.0	2.0
ENSMUSG00000002010	85.0	140.0	85.0	124.0
ENSMUSG00000002012	38.0	52.0	64.0	98.0
ENSMUSG00000002014	31.0	42.0	28.0	33.0
ENSMUSG00000002015	15.0	23.0	19.0	18.0
ENSMUSG00000002017	25.0	48.0	26.0	39.0
ENSMUSG00000002020	8.0	1.0	1.0	3.0
ENSMUSG00000002028	113.0	157.0	90.0	156.0
ENSMUSG00000002031	33.0	45.0	34.0	37.0
ENSMUSG00000002032	14.0	10.0	21.0	28.0
ENSMUSG00000002033	0.0	0.0	0.0	0.0
ENSMUSG00000002043	2.0	1.0	2.0	4.0
ENSMUSG00000002052	31.0	49.0	27.0	42.0
ENSMUSG00000002055	23.0	47.0	9.0	9.0
ENSMUSG00000002057	0.0	0.0	0.0	0.0
ENSMUSG00000002058	36.0	47.0	24.0	53.0
ENSMUSG00000002059	26.0	33.0	31.0	40.0
ENSMUSG00000002064	41.0	39.0	19.0	47.0
ENSMUSG00000002068	10.0	12.0	6.0	9.0
ENSMUSG00000002076	1.0	0.0	1.0	1.0
ENSMUSG00000002083	4.0	9.0	8.0	11.0
ENSMUSG00000002100	0.0	0.0	0.0	0.0
ENSMUSG00000002102	52.0	94.0	75.0	96.0
ENSMUSG00000002103	44.0	46.0	30.0	43.0
ENSMUSG00000002104	1.0	0.0	0.0	1.0
ENSMUSG00000002105	27.0	20.0	19.0	29.0
ENSMUSG00000002107	167.0	302.0	349.0	422.0
ENSMUSG00000002108	1.0	0.0	3.0	0.0
ENSMUSG00000002109	20.0	17.0	11.0	23.0
ENSMUSG00000002111	4.0	0.0	1.0	0.0
ENSMUSG00000002129	83.0	99.0	57.0	53.0
ENSMUSG00000002147	8.0	8.0	6.0	4.0
ENSMUSG00000002190	8.0	11.0	7.0	16.0
ENSMUSG00000002204	0.0	0.0	0.0	0.0
ENSMUSG00000002205	15.0	17.0	10.0	13.0
ENSMUSG00000002210	25.0	36.0	22.0	34.0
ENSMUSG00000002221	44.0	52.0	38.0	27.0
ENSMUSG00000002222	34.0	54.0	38.0	74.0
ENSMUSG00000002227	7.0	6.0	2.0	10.0
ENSMUSG00000002228	0.0	4.0	1.0	1.0
ENSMUSG00000002233	18.0	25.0	13.0	13.0
ENSMUSG00000002240	0.0	0.0	0.0	0.0
ENSMUSG00000002249	14.0	14.0	3.0	6.0
ENSMUSG00000002250	11.0	9.0	9.0	14.0
ENSMUSG00000002257	3.0	2.0	2.0	3.0
ENSMUSG00000002265	257.0	195.0	109.0	216.0
ENSMUSG00000002266	12.0	8.0	8.0	19.0
ENSMUSG00000002274	20.0	39.0	13.0	35.0
ENSMUSG00000002279	4.0	5.0	6.0	8.0
ENSMUSG00000002280	10.0	16.0	12.0	25.0
ENSMUSG00000002289	1.0	4.0	7.0	6.0
ENSMUSG00000002290	1.14	2.45	2.33	2.25
ENSMUSG00000002297	15.0	29.0	6.0	9.0
ENSMUSG00000002307	22.0	39.0	22.0	26.0
ENSMUSG00000002308	4.0	15.0	7.0	11.0
ENSMUSG00000002319	73.99	86.0	86.0	111.53
ENSMUSG00000002320	32.01	41.0	24.0	24.47
ENSMUSG00000002324	8.0	12.0	3.0	12.0
ENSMUSG00000002325	20.0	24.0	17.0	24.0
ENSMUSG00000002326	14.0	23.0	10.0	22.0
ENSMUSG00000002329	20.0	22.0	13.0	16.0
ENSMUSG00000002332	14.0	30.0	24.0	22.0
ENSMUSG00000002341	122.0	167.0	155.0	188.0
ENSMUSG00000002342	22.0	43.0	23.0	43.0
ENSMUSG00000002343	28.0	50.0	53.0	78.0
ENSMUSG00000002345	11.0	26.0	22.0	17.0
ENSMUSG00000002346	23.0	21.0	22.0	16.0
ENSMUSG00000002365	17.0	16.0	5.0	13.0
ENSMUSG00000002372	78.0	100.0	61.0	79.0
ENSMUSG00000002379	19.0	46.0	17.0	32.0
ENSMUSG00000002384	1.0	0.0	1.0	2.0
ENSMUSG00000002393	23.0	26.0	18.0	23.0
ENSMUSG00000002395	32.0	33.0	24.0	44.0
ENSMUSG00000002396	4.0	5.0	7.0	5.0
ENSMUSG00000002409	23.0	29.0	12.0	21.0
ENSMUSG00000002413	59.0	74.0	51.0	104.0
ENSMUSG00000002416	24.0	31.0	26.0	42.0
ENSMUSG00000002428	15.0	17.0	13.0	24.0
ENSMUSG00000002455	27.0	50.0	21.0	29.0
ENSMUSG00000002458	10.0	26.0	22.0	36.0
ENSMUSG00000002459	5.0	6.0	5.0	9.0
ENSMUSG00000002475	1.0	0.0	0.0	4.0
ENSMUSG00000002477	28.0	45.0	34.0	34.0
ENSMUSG00000002486	13.0	37.0	12.0	16.0
ENSMUSG00000002489	19.0	15.0	15.0	10.0
ENSMUSG00000002496	82.0	119.0	62.0	85.0
ENSMUSG00000002500	0.0	0.0	0.0	1.0
ENSMUSG00000002504	8.0	19.0	18.0	29.0
ENSMUSG00000002524	108.0	165.0	111.0	144.0
ENSMUSG00000002546	53.0	65.0	44.0	58.0
ENSMUSG00000002550	26.0	46.0	27.0	54.0
ENSMUSG00000002565	5.0	0.0	0.0	0.0
ENSMUSG00000002578	16.0	36.0	14.0	23.0
ENSMUSG00000002580	14.0	35.0	26.0	38.0
ENSMUSG00000002588	0.0	0.0	0.0	0.0
ENSMUSG00000002602	30.0	20.0	8.0	21.0
ENSMUSG00000002603	3.0	1.0	2.0	1.0
ENSMUSG00000002608	52.0	60.0	31.0	41.0
ENSMUSG00000002617	8.0	22.0	12.0	32.0
ENSMUSG00000002625	63.0	75.0	42.0	60.0
ENSMUSG00000002633	3.0	3.0	2.0	1.0
ENSMUSG00000002635	10.0	24.0	10.0	16.0
ENSMUSG00000002658	38.0	51.0	23.0	52.0
ENSMUSG00000002660	34.0	42.0	28.0	46.0
ENSMUSG00000002661	3.0	6.0	7.0	10.0
ENSMUSG00000002664	0.0	0.0	0.0	0.0
ENSMUSG00000002668	2.0	6.0	2.0	2.0
ENSMUSG00000002679	10.0	16.0	5.0	14.0
ENSMUSG00000002688	10.0	14.0	4.0	8.0
ENSMUSG00000002699	2.0	2.0	1.0	0.0
ENSMUSG00000002718	44.0	76.0	55.0	76.0
ENSMUSG00000002728	16.0	19.0	16.0	35.0
ENSMUSG00000002731	22.0	45.0	32.0	45.0
ENSMUSG00000002732	2.0	3.0	0.0	1.0
ENSMUSG00000002733	6.0	13.0	7.0	11.0
ENSMUSG00000002741	53.0	67.0	53.0	72.0
ENSMUSG00000002748	103.0	160.0	50.0	94.0
ENSMUSG00000002763	45.0	47.0	37.0	56.0
ENSMUSG00000002767	13.0	16.0	9.0	12.0
ENSMUSG00000002768	17.0	28.0	13.0	32.0
ENSMUSG00000002769	0.0	2.0	0.0	3.0
ENSMUSG00000002771	28.0	23.0	33.0	53.0
ENSMUSG00000002778	37.0	55.0	39.0	65.0
ENSMUSG00000002781	9.0	8.0	9.0	16.0
ENSMUSG00000002791	0.0	0.0	0.0	0.0
ENSMUSG00000002797	1.0	2.0	1.0	2.0
ENSMUSG00000002799	35.0	31.0	37.0	33.0
ENSMUSG00000002803	12.0	19.0	13.0	27.0
ENSMUSG00000002804	4.0	12.0	3.0	5.0
ENSMUSG00000002808	5.0	15.0	8.0	19.0
ENSMUSG00000002812	82.0	102.0	91.0	90.0
